,Time,Natural Gas Production (trillion cubic feet)
6,Jan-2005,1.557
7,Feb-2005,1.429
8,Mar-2005,1.609
9,Apr-2005,1.540
10,May-2005,1.576
11,Jun-2005,1.537
12,Jul-2005,1.552
13,Aug-2005,1.544
14,Sep-2005,1.336
15,Oct-2005,1.407
16,Nov-2005,1.444
17,Dec-2005,1.519
18,Jan-2006,1.536
19,Feb-2006,1.383
20,Mar-2006,1.555
21,Apr-2006,1.497
22,May-2006,1.556
23,Jun-2006,1.539
24,Jul-2006,1.573
25,Aug-2006,1.579
26,Sep-2006,1.542
27,Oct-2006,1.597
28,Nov-2006,1.540
29,Dec-2006,1.606
30,Jan-2007,1.576
31,Feb-2007,1.444
32,Mar-2007,1.625
33,Apr-2007,1.552
34,May-2007,1.643
35,Jun-2007,1.590
36,Jul-2007,1.625
37,Aug-2007,1.634
38,Sep-2007,1.598
39,Oct-2007,1.654
40,Nov-2007,1.633
41,Dec-2007,1.693
42,Jan-2008,1.686
43,Feb-2008,1.591
44,Mar-2008,1.723
45,Apr-2008,1.662
46,May-2008,1.717
47,Jun-2008,1.681
48,Jul-2008,1.769
49,Aug-2008,1.744
50,Sep-2008,1.489
51,Oct-2008,1.675
52,Nov-2008,1.679
53,Dec-2008,1.744
54,Jan-2009,1.782
55,Feb-2009,1.624
56,Mar-2009,1.786
57,Apr-2009,1.699
58,May-2009,1.756
59,Jun-2009,1.707
60,Jul-2009,1.741
61,Aug-2009,1.755
62,Sep-2009,1.652
63,Oct-2009,1.729
64,Nov-2009,1.674
65,Dec-2009,1.717
66,Jan-2010,1.737
67,Feb-2010,1.603
68,Mar-2010,1.776
69,Apr-2010,1.727
70,May-2010,1.797
71,Jun-2010,1.717
72,Jul-2010,1.806
73,Aug-2010,1.827
74,Sep-2010,1.772
75,Oct-2010,1.863
76,Nov-2010,1.802
77,Dec-2010,1.890
78,Jan-2011,1.861
79,Feb-2011,1.647
80,Mar-2011,1.908
81,Apr-2011,1.868
82,May-2011,1.935
83,Jun-2011,1.862
84,Jul-2011,1.937
85,Aug-2011,1.960
86,Sep-2011,1.893
87,Oct-2011,2.019
88,Nov-2011,1.978
89,Dec-2011,2.034
90,Jan-2012,2.046
91,Feb-2012,1.877
92,Mar-2012,2.014
93,Apr-2012,1.943
94,May-2012,2.016
95,Jun-2012,1.939
96,Jul-2012,2.055
97,Aug-2012,2.045
98,Sep-2012,1.991
99,Oct-2012,2.062
100,Nov-2012,1.998
101,Dec-2012,2.046
102,Jan-2013,2.023
103,Feb-2013,1.833
104,Mar-2013,2.023
105,Apr-2013,1.983
106,May-2013,2.043
107,Jun-2013,1.974
108,Jul-2013,2.080
109,Aug-2013,2.075
110,Sep-2013,2.003
111,Oct-2013,2.076
112,Nov-2013,2.030
113,Dec-2013,2.062
114,Jan-2014,2.070
115,Feb-2014,1.914
116,Mar-2014,2.135
117,Apr-2014,2.116
118,May-2014,2.175
119,Jun-2014,2.116
120,Jul-2014,2.233
121,Aug-2014,2.245
122,Sep-2014,2.172
123,Oct-2014,2.266
124,Nov-2014,2.179
125,Dec-2014,2.269
126,Jan-2015,2.277
127,Feb-2015,2.067
128,Mar-2015,2.298
129,Apr-2015,2.256
130,May-2015,2.298
131,Jun-2015,2.219
132,Jul-2015,2.300
133,Aug-2015,2.302
134,Sep-2015,2.242
135,Oct-2015,2.300
136,Nov-2015,2.216
137,Dec-2015,2.290
138,Jan-2016,2.280
139,Feb-2016,2.163
140,Mar-2016,2.287
141,Apr-2016,2.211
142,May-2016,2.259
143,Jun-2016,2.165
144,Jul-2016,2.256
145,Aug-2016,2.238
146,Sep-2016,2.151
147,Oct-2016,2.214
148,Nov-2016,2.161
149,Dec-2016,2.207
150,Jan-2017,2.187
151,Feb-2017,2.003
152,Mar-2017,2.268
153,Apr-2017,2.198
154,May-2017,2.271
155,Jun-2017,2.219
156,Jul-2017,2.317
157,Aug-2017,2.315
158,Sep-2017,2.280
159,Oct-2017,2.398
160,Nov-2017,2.393
161,Dec-2017,2.492
162,Jan-2018,2.441
163,Feb-2018,2.251
164,Mar-2018,2.521
165,Apr-2018,2.436
166,May-2018,2.546
167,Jun-2018,2.476
168,Jul-2018,2.610
169,Aug-2018,2.662
170,Sep-2018,2.619
171,Oct-2018,2.740
172,Nov-2018,2.698
173,Dec-2018,2.774
174,Jan-2019,2.767
175,Feb-2019,2.516
176,Mar-2019,2.798
177,Apr-2019,2.721
178,May-2019,2.833
179,Jun-2019,2.750
180,Jul-2019,2.857
181,Aug-2019,2.926
182,Sep-2019,2.843
183,Oct-2019,2.963
184,Nov-2019,2.915
185,Dec-2019,3.009
186,Jan-2020,2.954
187,Feb-2020,2.761
188,Mar-2020,2.956
189,Apr-2020,2.786
190,May-2020,2.707
191,Jun-2020,2.657
192,Jul-2020,2.795
193,Aug-2020,2.786
194,Sep-2020,2.699
195,Oct-2020,2.767
196,Nov-2020,2.761
197,Dec-2020,2.857
